Name,RelativePath,DVFS,Note,ContentSubcategory,Timeout,Core_Atom,Core_Big,Core_KL
DH28-Blender-A1J-1C100022,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Blender-A1J-1C100023,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Blender-Y1J-1C100024,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Blender-X1J-1C100025,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Blender-A1J-1C100026,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Blender-A1J-1C100027,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-Blender-A1J-1C100028,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Blender-Y1J-1C100029,ARL8B32A,FALSE,Regular; VMX,H,18,TRUE,TRUE,Don't Care
DH28-Blender-X1J-1C10002A,ARL8B32A,FALSE,Regular; VMX,H,18,TRUE,TRUE,Don't Care
DH28-Blender-X1J-1C10002B,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Blender-A1J-1C10002C,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-Blender-Y1J-1C10002D,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-Ditto-OZAG-1C1000F8,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Ditto-GCCG-1C1000F7,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-DittoMT-CG-1C100115,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Fireworx-Y-1C100127,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Flipper-1C100137,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Frenzy-Y-1C10014C,ARL8B32A,FALSE,Regular; VMX,H,18,TRUE,TRUE,Don't Care
DH28-Frenzy-Y-1C100149,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-Frenzy-Y-1C10014A,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Frenzy-X-1C10014B,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Kawachi-1C1001D1,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-LeekSpin-Y-1C1001E4,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-LeekSpin-X-1C1001E3,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Millet-CG-1C100200,ARL8B32A,FALSE,Decap,H,18,TRUE,TRUE,Don't Care
DH28-Oakley-LegX-1C10020F,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-PlusOne-Mhs-1C10022D,ARL8B32A,FALSE,Regular,H,18,TRUE,TRUE,Don't Care
DH28-Satsuma-Y-1C100247,ARL8B32A,FALSE,Regular; VMX,H,18,TRUE,TRUE,Don't Care
DH28-Scylla-SBMG-1C10025C,ARL8B32A,FALSE,Regular; VMX,H,18,TRUE,TRUE,Don't Care
